EXECUTION_TIME_STAMP,TICKER,CURRENT_PRICE,CURR,PRICE_CEILING,STRIKE,PRICE_FLOOR,DTE_STRING_AVG,DEX_AVG,GEX_OI_VOL_AVG,ZONE_OI_VOL_AVG,POWER_OI_VOL_AVG,NEG_NEG_OI_VOL_AVG,GEX_OI_AVG,ZONE_OI_AVG,POWER_OI_AVG,NEG_NEG_OI_AVG,DTE_STRING_AVG0,DEX_AVG0,GEX_OI_VOL_AVG0,ZONE_OI_VOL_AVG0,POWER_OI_VOL_AVG0,NEG_NEG_OI_VOL_AVG0,GEX_OI_AVG0,ZONE_OI_AVG0,POWER_OI_AVG0,NEG_NEG_OI_AVG0,DTE_STRING_0,DEX_0,GEX_OI_VOL_0,ZONE_OI_VOL_0,POWER_OI_VOL_0,NEG_NEG_OI_VOL_0,GEX_OI_0,ZONE_OI_0,POWER_OI_0,NEG_NEG_OI_0,DTE_STRING_1,DEX_1,GEX_OI_VOL_1,ZONE_OI_VOL_1,POWER_OI_VOL_1,NEG_NEG_OI_VOL_1,GEX_OI_1,ZONE_OI_1,POWER_OI_1,NEG_NEG_OI_1,NUMBER_OF_1_TOTAL_AVG,NUMBER_OF_1_TOTAL_AVG_0,NUMBER_OF_M_TOTAL_AVG,NUMBER_OF_M_TOTAL_AVG_0
2026-09-10 15:00:14,IWM,287.48,,300.5,300,0,AVG,-10304.06454,227666,+,,300,188078,+,,300,AVG-0,-10285.25375,227666,+,,300,188078,+,,300,0,-18.81079,0,,,300,0,*,,300,1,-9950.52764,-104,,,N/N,560,,,300,0,0,0,0
2026-09-10 15:00:14,IWM,287.48,,299.5,299,0,AVG,-5868.20254,132162,*,,299,123925,*,,299,AVG-0,-5865.3886600000005,132162,*,,299,123925,*,,299,0,-2.81388,0,,,299,0,*,,299,1,-5708.2948400000005,-927,,,N/N,-139,,,N/N,0,0,0,0
2026-09-10 15:00:14,IWM,287.48,,298.5,298,0,AVG,-966.6535399999998,48679,*,,298,20557,*,,298,AVG-0,-958.0432899999998,48679,*,,298,20557,*,,298,0,-8.610249999999999,0,,,298,0,*,,298,1,-1068.0123,2741,,,298,2990,,,298,0,0,0,0
2026-09-10 15:00:14,IWM,287.48,,297.75,297.5,0,AVG,-791.8942,2910,*,,297.5,3271,*,,297.5,AVG-0,-791.8942,2910,*,,297.5,3271,*,,297.5,0,0,0,,,297.5,0,*,,297.5,1,-791.0848,2290,,,297.5,2664,,,297.5,0,0,0,0
2026-09-10 15:00:14,IWM,287.48,,297.25,297,0,AVG,-308.30625000000003,65220,*,,297,48079,*,,297,AVG-0,-293.86285000000004,65220,*,,297,48079,*,,297,0,-14.4434,0,,,297,0,*,,297,1,-57.635760000000005,9186,,,297,5899,,,297,0,0,0,0
2026-09-10 15:00:14,IWM,287.48,,296.5,296,0,AVG,-435.62995,84053,*,,296,68243,*,,296,AVG-0,-267.71827,84053,*,,296,68243,*,,296,0,-167.91168000000002,0,,,296,0,*,,296,1,-80.11664,11971,,,296,9445,+,,296,0,0,0,0
2026-09-10 15:00:14,IWM,287.48,,295.5,295,0,AVG,-1689.5416099999995,22358,*,,295,-72491,*,,N/N,AVG-0,1.5569000000001267,22358,*,,295,-72491,*,,295,0,-1691.0985099999998,0,,,295,0,*,,295,1,551.2282900000001,42296,,,295,-13243,*,,295,0,0,0,0
2026-09-10 15:00:14,IWM,287.48,,294.5,294,0,AVG,-2664.09001,26088,*,,294,-31765,*,,N/N,AVG-0,-2455.21903,26088,*,,294,-31765,*,,N/N,0,-208.87098,0,,,294,0,*,,294,1,-3041.8003499999995,-17729,,,N/N,-8827,*,,N/N,0,0,0,0
2026-09-10 15:00:14,IWM,287.48,,293.5,293,0,AVG,-14192.36748,-368997,*,,N/N,-254766,*,,N/N,AVG-0,-13770.43788,-368997,*,,N/N,-254766,*,,N/N,0,-421.9296,0,,,293,0,*,,293,1,-27.149560000000065,10219,,,293,-22194,*,,N/N,0,0,0,0
2026-09-10 15:00:14,IWM,287.48,,292.75,292.5,0,AVG,731.7830299999999,61395,*,,292.5,-9257,*,,292.5,AVG-0,731.7830299999999,61395,*,,292.5,-9257,*,,292.5,0,0,0,,,292.5,0,*,,292.5,1,752.0303799999999,60892,,,292.5,-9378,*,,292.5,0,0,0,0
